iter	Passed	Remaining
163	5483	21265
164	5515	21225
165	5545	21179
166	5577	21142
167	5614	21120
168	5650	21098
169	5680	21052
170	5712	21011
171	5745	20976
172	5775	20933
173	5807	20893
174	5839	20857
175	5873	20823
176	5904	20781
177	5941	20760
178	5978	20739
179	6017	20725
180	6049	20687
181	6081	20648
182	6113	20613
183	6144	20571
184	6175	20530
185	6211	20503
186	6247	20480
187	6282	20450
188	6313	20409
189	6344	20369
190	6375	20327
191	6406	20286
192	6439	20253
193	6473	20220
194	6508	20193
195	6539	20150
196	6570	20112
197	6602	20074
198	6633	20032
199	6666	19998
200	6701	19970
201	6734	19937
202	6769	19907
203	6802	19875
204	6835	19840
205	6866	19800
206	6899	19766
207	6935	19740
208	6968	19704
209	7002	19673
210	7033	19632
211	7064	19594
212	7101	19571
213	7135	19538
214	7167	19503
215	7200	19467
216	7235	19438
217	7265	19398
218	7297	19358
219	7337	19343
220	7369	19307
221	7404	19278
222	7436	19241
223	7467	19202
224	7498	19163
225	7530	19125
226	7561	19086
227	7593	19050
228	7639	19048
229	7671	19012
230	7705	18980
231	7739	18947
232	7783	18940
233	7817	18909
234	7852	18878
235	7888	18852
236	7918	18811
237	7952	18778
238	7984	18741
239	8017	18706
240	8051	18674
241	8086	18645
242	8118	18608
243	8149	18571
244	8180	18530
245	8210	18490
246	8245	18461
247	8277	18423
248	8326	18425
249	8357	18386
250	8389	18350
251	8421	18312
252	8454	18279
253	8494	18260
254	8531	18233
255	8577	18227
256	8627	18227
257	8658	18188
258	8693	18159
259	8727	18126
260	8759	18090
261	8791	18053
262	8823	18016
263	8852	17974
264	8886	17939
265	8922	17912
266	8959	17884
267	8990	17847
268	9019	17804
269	9041	17747
270	9071	17706
271	9106	17676
272	9142	17648
273	9176	17615
274	9209	17582
275	9231	17526
276	9265	17493
277	9294	17452
278	9328	17420
279	9362	17387
280	9394	17351
281	9426	17315
282	9458	17279
283	9489	17240
284	9522	17207
285	9560	17182
286	9577	17120
287	9613	17090
288	9650	17064
289	9679	17021
290	9708	16982
291	9742	16948
292	9774	16913
293	9805	16876
294	9840	16845
295	9873	16811
296	9906	16776
297	9936	16738
298	9966	16698
299	9999	16666
300	10033	16632
301	10065	16598
302	10083	16539
303	10114	16501
304	10144	16464
305	10176	16428
306	10207	16392
307	10242	16361
308	10274	16326
309	10306	16290
310	10338	16256
311	10370	16221
312	10401	16183
313	10434	16150
314	10468	16118
315	10504	16089
316	10536	16054
317	10569	16019
318	10599	15981
319	10631	15947
320	10667	15918
321	10702	15887
322	10737	15856
323	10768	15820
324	10803	15789
325	10839	15760
326	10875	15731
327	10908	15697
328	10939	15661
329	10969	15623
330	10981	15560
331	11011	15522
332	11044	15489
333	11079	15458
334	11113	15426
335	11147	15393
336	11178	15358
337	11209	15322
338	11239	15285
339	11274	15253
340	11306	15219
341	11340	15186
342	11372	15152
343	11403	15116
344	11434	15080
345	11464	15043
346	11500	15013
347	11531	14977
348	11565	14945
349	11597	14911
350	11631	14879
351	11653	14831
352	11686	14798
353	11718	14763
354	11751	14730
355	11784	14697
356	11817	14664
357	11848	14629
358	11880	14594
359	11910	14557
360	11946	14527
361	11982	14498
362	12016	14466
363	12047	14430
364	12078	14394
365	12110	14360
366	12140	14323
367	12163	14279
368	12197	14246
369	12230	14213
370	12263	14180
371	12294	14145
372	12324	14108
373	12355	14072
374	12390	14042
375	12424	14010
376	12457	13977
377	12490	13944
378	12520	13908
379	12551	13872
380	12581	13836
381	12615	13804
382	12648	13771
383	12658	13713
384	12690	13679
385	12712	13634
386	12743	13599
387	12777	13567
388	12809	13533
389	12843	13502
390	12878	13471
391	12912	13439
392	12943	13404
393	12956	13350
394	12986	13314
395	13015	13278
396	13050	13248
397	13082	13213
398	13115	13181
399	13146	13146
400	13175	13110
401	13207	13076
402	13237	13040
403	13270	13007
404	13303	12974
405	13320	12926
406	13337	12878
407	13369	12845
408	13401	12811
409	13430	12775
410	13460	12739
411	13493	12707
412	13528	12676
413	13561	12644
414	13593	12610
415	13628	12579
416	13660	12547
417	13693	12513
418	13730	12484
419	13764	12453
420	13797	12421
421	13832	12389
422	13865	12357
423	13897	12323
424	13930	12291
425	13963	12258
426	13995	12225
427	14025	12190
428	14058	12157
429	14088	12122
430	14121	12090
431	14138	12044
432	14173	12012
433	14204	11978
434	14238	11947
435	14269	11913
436	14301	11879
437	14334	11847
438	14368	11815
439	14401	11782
440	14433	11749
441	14445	11700
442	14477	11667
443	14509	11633
444	14544	11602
445	14577	11570
446	14610	11537
447	14643	11505
448	14675	11472
449	14707	11439
450	14738	11405
451	14773	11374
452	14806	11342
453	14841	11310
454	14873	11277
455	14903	11242
456	14934	11208
457	14964	11174
458	14998	11142
459	15033	11111
460	15056	11071
461	15088	11038
462	15120	11005
463	15149	10970
464	15180	10936
465	15212	10903
466	15247	10872
467	15283	10842
468	15316	10809
469	15346	10775
470	15377	10741
471	15408	10707
472	15444	10677
473	15477	10644
474	15510	10612
475	15542	10579
476	15571	10544
477	15605	10512
478	15636	10478
479	15668	10445
480	15703	10414
481	15717	10369
482	15749	10336
483	15781	10303
484	15812	10270
485	15845	10237
486	15883	10208
487	15915	10175
488	15948	10143
489	15980	10109
490	16012	10077
491	16045	10045
492	16076	10011
493	16112	9980
494	16145	9948
495	16180	9917
496	16212	9884
497	16242	9849
498	16272	9815
499	16302	9781
500	16336	9749
501	16369	9717
502	16403	9685
503	16435	9652
504	16468	9620
505	16478	9574
506	16508	9540
507	16540	9507
508	16578	9477
509	16615	9448
510	16651	9417
511	16685	9385
512	16718	9353
513	16752	9321
514	16785	9288
515	16821	9258
516	16853	9225
517	16885	9192
518	16918	9160
519	16948	9126
520	16982	9094
521	17015	9062
522	17048	9029
523	17081	8996
524	17112	8963
525	17143	8930
526	17176	8897
527	17210	8865
528	17243	8833
529	17276	8801
530	17307	8768
531	17337	8733
532	17367	8700
533	17399	8667
534	17430	8633
535	17463	8601
536	17495	8568
537	17528	8536
538	17558	8502
539	17591	8469
540	17625	8438
541	17661	8406
542	17693	8374
543	17725	8341
544	17755	8307
545	17786	8274
546	17815	8240
547	17848	8207
548	17882	8175
549	17915	8143
550	17949	8111
551	17982	8078
552	18012	8045
553	18045	8012
554	18082	7982
555	18114	7949
556	18145	7916
557	18176	7883
558	18206	7849
559	18238	7816
560	18273	7785
561	18307	7752
562	18338	7719
563	18360	7682
564	18390	7649
565	18421	7615
566	18450	7582
567	18483	7549
568	18517	7517
569	18549	7484
570	18582	7452
571	18615	7420
572	18646	7386
573	18655	7345
574	18687	7312
575	18723	7281
576	18754	7248
577	18788	7216
578	18818	7182
579	18848	7149
580	18881	7116
581	18915	7085
582	18949	7053
583	18983	7021
584	19015	6988
585	19046	6955
586	19076	6922
587	19108	6889
588	19152	6861
589	19189	6830
590	19221	6797
591	19252	6764
592	19283	6731
593	19316	6699
594	19345	6665
595	19378	6632
596	19414	6601
597	19448	6569
598	19481	6537
599	19512	6504
600	19543	6471
601	19577	6438
602	19614	6408
603	19647	6375
604	19682	6343
605	19715	6311
606	19747	6278
607	19758	6239
608	19791	6207
609	19824	6174
610	19858	6142
611	19891	6110
612	19923	6077
613	19956	6045
614	19984	6011
615	20016	5978
616	20050	5946
617	20082	5914
618	20115	5881
619	20148	5849
620	20179	5816
621	20212	5784
622	20251	5753
623	20283	5721
624	20316	5688
625	20348	5656
626	20380	5623
627	20411	5590
628	20441	5557
629	20476	5525
630	20511	5493
631	20543	5460
632	20575	5428
633	20606	5395
634	20638	5362
635	20671	5330
636	20708	5298
637	20740	5266
638	20775	5234
639	20806	5201
640	20837	5168
641	20869	5136
642	20899	5103
643	20932	5070
644	20973	5040
645	21007	5008
646	21040	4975
647	21070	4942
648	21100	4909
649	21129	4875
650	21161	4843
651	21195	4811
652	21227	4778
653	21261	4746
654	21292	4713
655	21323	4680
656	21354	4647
657	21388	4615
658	21402	4579
659	21438	4547
660	21471	4515
661	21503	4482
662	21534	4449
663	21563	4416
664	21596	4384
665	21615	4349
666	21649	4316
667	21684	4284
668	21716	4252
669	21746	4219
670	21775	4186
671	21808	4154
672	21840	4121
673	21875	4089
674	21906	4056
675	21939	4024
676	21971	3991
677	22003	3959
678	22037	3927
679	22072	3895
680	22105	3862
681	22138	3830
682	22167	3797
683	22198	3764
684	22231	3732
685	22268	3700
686	22302	3668
687	22315	3632
688	22349	3600
689	22379	3567
690	22409	3534
691	22440	3502
692	22472	3469
693	22508	3437
694	22542	3405
695	22577	3373
696	22607	3340
697	22637	3308
698	22667	3275
699	22708	3244
700	22755	3213
701	22802	3183
702	22846	3152
703	22892	3121
704	22938	3091
705	22983	3060
706	23029	3029
707	23075	2998
708	23104	2965
709	23134	2932
710	23169	2900
711	23202	2867
712	23236	2835
713	23252	2800
714	23283	2767
715	23304	2734
716	23335	2701
717	23369	2668
718	23405	2636
719	23437	2604
720	23460	2570
721	23492	2538
722	23524	2505
723	23554	2472
724	23586	2440
725	23632	2408
726	23664	2376
727	23677	2341
728	23709	2309
729	23742	2276
730	23773	2244
731	23806	2211
732	23839	2179
733	23876	2146
734	23910	2114
735	23943	2082
736	23974	2049
737	24003	2016
738	24013	1982
739	24049	1949
740	24091	1918
741	24127	1885
742	24158	1853
743	24189	1820
744	24219	1788
745	24251	1755
746	24285	1723
747	24318	1690
748	24348	1657
749	24360	1624
750	24391	1591
751	24429	1559
752	24462	1526
753	24499	1494
754	24531	1462
755	24561	1429
756	24592	1396
757	24623	1364
758	24657	1331
759	24690	1299
760	24725	1267
761	24758	1234
762	24788	1202
763	24819	1169
764	24850	1136
765	24884	1104
766	24917	1072
767	24948	1039
768	24965	1006
769	24997	973
770	25029	941
771	25058	908
772	25091	876
773	25125	844
774	25159	811
775	25190	779
776	25222	746
777	25253	714
778	25284	681
779	25318	649
780	25350	616
781	25388	584
782	25420	551
783	25452	519
784	25483	486
785	25515	454
786	25553	422
787	25588	389
788	25627	357
789	25659	324
790	25697	292
791	25732	259
792	25761	227
793	25796	194
794	25829	162
795	25864	129
796	25893	97
797	25925	64
798	25955	32
799	25988	0
