Survived,Pclass,Age,Fare,Cabin,C,Q,S,CabinLetter,Age_scaled,Fare_0,Fare_1,Fare_2,Fare_3,Fare_4,Sex_0,Sex_1,Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Name_length,Pclass_0,Pclass_1,Pclass_2,Pclass_3,Pclass_4,Pclass_5,Family_Size,Family_Size_Category_0,Family_Size_Category_1,Family_Size_Category_2,Ticket_Letter,Ticket_Number
0,0,0.0972618987531129,0.00995042503986978,0,0,0,1,0,0.0972618987531129,0,0,0,1,0,0,1,0,1,0,0,0,0,3.022163961800221,0,0,0,0,1,0,2,0,0,1,3,345763.0
1,0,-0.8029966155510868,-0.4981545781841214,0,1,0,0,0,-0.8029966155510868,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.4274512701485322,0,0,0,0,0,1,1,0,1,0,3,2649.0
0,2,0.3886072613098427,-0.22582915882277113,0,0,0,1,0,0.3886072613098427,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.7508526981437278,0,0,0,1,0,0,1,0,1,0,3,239865.0
1,2,0.31577092067066026,-0.22582915882277113,1,0,0,1,4,0.31577092067066026,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.6430522221453293,0,0,0,1,0,0,1,0,1,0,3,248698.0
1,0,-1.0681195514738064,-0.4602317899156542,0,0,1,0,0,-1.0681195514738064,0,0,1,0,0,0,1,0,0,1,0,0,0,0.003750633845061978,0,0,0,0,0,1,1,0,1,0,3,330923.0
1,1,-0.12124712316443445,0.8351789685591129,1,0,0,1,5,-0.12124712316443445,0,1,0,0,0,1,0,1,0,0,0,0,0,0.11155110984346052,0,1,0,0,0,0,1,0,1,0,3,113788.0
0,0,-1.5779739359480836,-0.5904033403703796,0,0,0,1,0,-1.5779739359480836,1,0,0,0,0,0,1,0,0,1,0,0,0,0.21935158584185907,0,0,0,0,0,1,5,1,0,0,3,349909.0
1,0,0.6071162832273901,-0.46882949244120536,0,0,0,1,0,0.6071162832273901,0,0,1,0,0,0,1,0,1,0,0,0,0,3.2377649137970184,0,0,0,0,0,1,7,1,0,0,3,347077.0
0,0,0.3978321099753278,-0.4981545781841214,0,1,0,0,0,0.3978321099753278,1,0,0,0,0,1,0,1,0,0,0,0,0,-0.4274512701485322,0,0,0,0,0,1,1,0,1,0,3,2631.0
0,1,-0.7767741889170765,2.2616454509280906,1,0,0,1,1,-0.7767741889170765,0,1,0,0,0,1,0,1,0,0,0,0,0,0.3271520618402576,1,0,0,0,0,0,6,1,0,0,3,19950.0
1,0,-0.47830486468993383,-0.4673051774315334,0,0,1,0,0,-0.47830486468993383,0,0,1,0,0,0,1,0,0,1,0,0,0,0.21935158584185907,0,0,0,0,0,1,1,0,1,0,3,330959.0
0,0,-0.12521344227613163,-0.4665223892131094,0,0,0,1,0,-0.12521344227613163,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.8586531741421264,0,0,0,0,0,1,1,0,1,0,3,349216.0
0,1,0.7527889645057549,0.46834366080226175,0,1,0,0,0,0.7527889645057549,0,1,0,0,0,1,0,0,0,0,0,1,0,-0.31965079415013364,0,1,0,0,0,0,1,0,1,0,1,0.0
1,1,0.5413166614573589,2.6158052482564864,1,1,0,0,6,0.5413166614573589,0,1,0,0,0,0,1,0,1,0,0,0,0,2.0519596778146343,1,0,0,0,0,0,2,0,0,1,1,0.0
1,0,-0.5384952636981484,-0.47339772187854406,0,0,1,0,0,-0.5384952636981484,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.31965079415013364,0,0,0,0,0,1,1,0,1,0,3,335677.0
0,2,2.646533821124499,-0.3437189507540916,0,0,0,1,0,2.646533821124499,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.6430522221453293,0,0,0,1,0,0,1,0,1,0,6,0.0
0,1,-0.12124712316443445,1.0985636261003917,0,1,0,0,0,-0.12124712316443445,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.4274512701485322,0,1,0,0,0,0,2,0,0,1,1,0.0
0,1,0.8984616457841199,0.3871977592200952,0,0,0,1,0,0.8984616457841199,0,0,0,1,0,1,0,1,0,0,0,0,0,0.3271520618402576,0,1,0,0,0,0,2,0,0,1,3,113789.0
1,0,-0.930549306122045,-0.4979565233336768,0,1,0,0,0,-0.930549306122045,1,0,0,0,0,1,0,1,0,0,0,0,0,-1.182054602137322,0,0,0,0,0,1,1,0,1,0,3,2677.0
0,0,-0.6311015076387116,-0.4592509468467856,0,0,0,1,0,-0.6311015076387116,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.31965079415013364,0,0,0,0,0,1,1,0,1,0,7,0.0
0,0,-0.8496105295562589,-0.41445282591288385,0,0,0,1,0,-0.8496105295562589,0,0,0,0,1,0,1,0,0,1,0,0,0,0.7583539658338517,0,0,0,0,1,0,3,0,0,1,3,345764.0
1,0,-1.1409558921129888,-0.5737997420747724,0,1,0,0,0,-1.1409558921129888,1,0,0,0,0,0,1,0,0,1,0,0,0,0.003750633845061978,0,0,0,0,0,1,2,0,0,1,3,2651.0
0,0,0.7527889645057549,-0.39205376544593296,0,0,0,1,0,0.7527889645057549,0,0,0,0,1,0,1,0,1,0,0,0,0,2.0519596778146343,0,0,0,0,1,0,2,0,0,1,3,7546.0
0,2,-0.1940834638036169,-0.3437189507540916,0,0,0,1,0,-0.1940834638036169,0,0,0,0,1,0,1,0,1,0,0,0,0,3.1299644377986198,0,0,0,1,0,0,2,0,0,1,3,11668.0
0,0,-0.12521344227613163,-0.4665223892131094,0,1,0,0,0,-0.12521344227613163,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.8586531741421264,0,0,0,0,0,1,1,0,1,0,3,349253.0
1,2,-1.9421556391439958,-0.18528764530953626,0,1,0,0,0,-1.9421556391439958,0,0,0,1,0,0,1,0,0,1,0,0,0,1.405156821824243,0,0,1,0,0,0,4,0,0,1,8,0.0
1,0,-0.7767741889170765,-0.4673051774315334,0,0,1,0,0,-0.7767741889170765,0,0,1,0,0,0,1,0,0,1,0,0,0,0.21935158584185907,0,0,0,0,0,1,1,0,1,0,3,330958.0
0,0,0.15347458161228092,-0.4592509468467856,0,0,0,1,0,0.15347458161228092,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.31965079415013364,0,0,0,0,0,1,1,0,1,0,9,0.0
0,0,0.3038483053874609,-0.10793936689145067,0,0,1,0,0,0.3038483053874609,0,0,0,1,0,1,0,1,0,0,0,0,0,-1.0742541261389233,0,0,0,0,1,0,2,0,0,1,3,370371.0
1,0,-0.5384952636981484,-0.47339772187854406,0,0,1,0,0,-0.5384952636981484,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.2118503181517351,0,0,0,0,0,1,1,0,1,0,3,14311.0
0,0,-0.4589804770054607,0.18344647402935554,0,1,0,0,0,-0.4589804770054607,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.8586531741421264,0,0,0,0,1,0,3,0,0,1,3,2662.0
0,0,-0.8496105295562589,-0.4191684175901366,0,0,0,1,0,-0.8496105295562589,0,0,0,0,1,0,1,0,1,0,0,0,0,1.9441592018162357,0,0,0,0,1,0,2,0,0,1,3,349237.0
0,0,-1.6508102765872659,-0.5269393357140189,0,0,0,1,0,-1.6508102765872659,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.10404984215333657,0,0,0,0,0,1,6,1,0,0,3,3101295.0
0,0,-0.6311015076387116,-0.4710399260399176,0,0,0,1,0,-0.6311015076387116,0,0,1,0,0,1,0,1,0,0,0,0,0,0.11155110984346052,0,0,0,0,0,1,1,0,1,0,10,0.0
1,1,1.408316030258397,0.3672225128752524,1,1,0,0,4,1.408316030258397,0,0,0,1,0,0,1,0,1,0,0,0,0,1.405156821824243,0,1,0,0,0,0,2,0,0,1,1,0.0
1,2,-0.04841078252525201,0.3871977592200952,0,0,0,1,0,-0.04841078252525201,0,0,0,1,0,0,1,0,1,0,0,0,0,2.483161581808228,0,0,1,0,0,0,2,0,0,1,3,2926.0
0,1,2.5736974804853165,2.0838299199622408,1,1,0,0,6,2.5736974804853165,0,1,0,0,0,1,0,1,0,0,0,0,0,0.3271520618402576,1,0,0,0,0,0,2,0,0,1,3,113509.0
1,1,0.812155842529068,0.8351789685591129,1,0,0,1,1,0.812155842529068,0,1,0,0,0,1,0,1,0,0,0,0,0,-1.0742541261389233,0,1,0,0,0,0,1,0,1,0,3,19947.0
1,2,-0.6311015076387116,-0.3437189507540916,0,0,0,1,0,-0.6311015076387116,0,0,0,0,1,0,1,0,0,1,0,0,0,-1.0742541261389233,0,0,0,1,0,0,1,0,1,0,6,0.0
0,0,-0.08482895284484324,-0.4979565233336768,0,1,0,0,0,-0.08482895284484324,1,0,0,0,0,1,0,1,0,0,0,0,0,-0.8586531741421264,0,0,0,0,0,1,1,0,1,0,3,2697.0
1,2,-1.796482957865631,-0.4026638467197518,0,0,0,1,0,-1.796482957865631,0,0,0,0,1,0,1,0,0,1,0,0,0,0.11155110984346052,0,0,0,1,0,0,4,0,0,1,6,0.0
0,0,-1.3594649140305362,-0.4702539940937089,0,0,0,1,0,-1.3594649140305362,0,0,1,0,0,1,0,0,0,0,1,0,0,0.7583539658338517,0,0,0,0,0,1,8,1,0,0,11,0.0
0,0,-0.5582651669995292,-0.4979565233336768,0,1,0,0,0,-0.5582651669995292,1,0,0,0,0,1,0,1,0,0,0,0,0,-0.6430522221453293,0,0,0,0,0,1,1,0,1,0,3,2669.0
1,1,0.6071162832273901,1.0473805940354897,1,0,0,1,6,0.6071162832273901,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.8586531741421264,0,1,0,0,0,0,1,0,1,0,3,113572.0
0,1,1.1169706677016673,1.1293139994277572,1,0,0,1,1,1.1169706677016673,0,1,0,0,0,1,0,1,0,0,0,0,0,0.003750633845061978,0,1,0,0,0,0,2,0,0,1,3,36973.0
0,0,-1.8693192985048133,-0.6195810638733815,0,0,0,1,0,-1.8693192985048133,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.6430522221453293,0,0,0,0,0,1,6,1,0,0,3,347088.0
0,1,0.679845003706403,0.46834366080226175,0,1,0,0,0,0.679845003706403,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.6430522221453293,0,1,0,0,0,0,1,0,1,0,1,0.0
1,0,-1.0686880911384526,-0.4793912389003324,0,1,0,0,0,-1.0686880911384526,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.31965079415013364,0,0,0,0,0,1,3,0,0,1,3,2661.0
1,2,-0.04841078252525201,-0.3437189507540916,1,0,0,1,7,-0.04841078252525201,0,0,0,0,1,0,1,0,1,0,0,0,0,0.11155110984346052,0,0,0,1,0,0,1,0,1,0,6,0.0
0,0,-0.7767741889170765,-0.4541439610603208,0,0,0,1,0,-0.7767741889170765,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.31965079415013364,0,0,0,0,1,0,1,0,1,0,12,0.0
1,0,-0.9224468701954415,-0.4651454364433516,0,0,0,1,0,-0.9224468701954415,0,0,1,0,0,0,1,0,0,1,0,0,0,0.4349525378386561,0,0,0,0,0,1,7,1,0,0,3,3101281.0
0,0,-0.26691980444279934,-0.4303679478236121,0,0,0,1,0,-0.26691980444279934,0,0,0,0,1,1,0,1,0,0,0,0,0,-1.0742541261389233,0,0,0,0,1,0,3,0,0,1,3,315151.0
0,2,0.17009823939229535,-0.3437189507540916,0,0,0,1,0,0.17009823939229535,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.10404984215333657,0,0,0,1,0,0,1,0,1,0,6,0.0
0,0,-0.9952832108346239,-0.4702539940937089,0,0,0,1,0,-0.9952832108346239,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.10404984215333657,0,0,0,0,0,1,8,1,0,0,11,0.0
0,2,-0.6311015076387116,-0.14566410030947324,0,0,0,1,0,-0.6311015076387116,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.7508526981437278,0,0,1,0,0,0,1,0,1,0,13,0.0
0,0,-0.26691980444279934,-0.15725502465216062,0,1,0,0,0,-0.26691980444279934,0,0,0,1,0,1,0,1,0,0,0,0,0,0.003750633845061978,0,0,0,0,1,0,2,0,0,1,3,2680.0
1,0,0.17009823939229535,-0.4582687564660092,0,0,0,1,0,0.17009823939229535,0,0,0,0,1,1,0,1,0,0,0,0,0,-1.5054560301325175,0,0,0,0,0,1,1,0,1,0,3,1601.0
0,0,-0.3397561450819818,-0.47811331355579684,1,0,0,1,7,-0.3397561450819818,1,0,0,0,0,1,0,1,0,0,0,0,0,-0.4274512701485322,0,0,0,0,0,1,1,0,1,0,3,348123.0
0,0,-0.12521344227613163,-0.4665223892131094,0,0,0,1,0,-0.12521344227613163,0,0,1,0,0,1,0,1,0,0,0,0,0,-1.0742541261389233,0,0,0,0,0,1,1,0,1,0,3,349208.0
0,0,0.15347458161228092,-0.4592509468467856,0,0,0,1,0,0.15347458161228092,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.31965079415013364,0,0,0,0,0,1,1,0,1,0,3,374746.0
1,2,-2.100210498331022,-0.15509528366397884,0,0,0,1,0,-2.100210498331022,0,0,0,1,0,1,0,0,0,0,1,0,0,0.21935158584185907,0,0,1,0,0,0,3,0,0,1,3,248738.0
1,0,0.02442555811393045,-0.5447210459969929,0,0,0,1,0,0.02442555811393045,1,0,0,0,0,0,1,0,0,1,0,0,0,-0.31965079415013364,0,0,0,0,0,1,1,0,1,0,3,364516.0
0,0,-0.5582651669995292,-0.41445282591288385,0,0,0,1,0,-0.5582651669995292,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.7508526981437278,0,0,0,0,1,0,1,0,1,0,3,345767.0
1,0,-0.04841078252525201,-0.39087486752661976,0,0,0,1,0,-0.04841078252525201,0,0,0,0,1,1,0,1,0,0,0,0,0,0.003750633845061978,0,0,0,0,1,0,1,0,1,0,3,345779.0
1,0,-0.4197274989662069,-0.47162937499957425,0,0,1,0,0,-0.4197274989662069,0,0,1,0,0,0,1,0,0,1,0,0,0,0.3271520618402576,0,0,0,0,0,1,1,0,1,0,3,330932.0
0,1,-0.12124712316443445,1.3821876031204399,0,0,0,1,0,-0.12124712316443445,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.4274512701485322,1,0,0,0,0,0,1,0,1,0,3,113059.0
1,2,-0.9224468701954415,-0.3437189507540916,0,0,0,1,0,-0.9224468701954415,0,0,0,0,1,0,1,0,0,1,0,0,0,-0.8586531741421264,0,0,0,1,0,0,1,0,1,0,14,0.0
1,0,0.2429345800314778,-0.4651454364433516,0,0,0,1,0,0.2429345800314778,0,0,1,0,0,0,1,0,1,0,0,0,0,3.022163961800221,0,0,0,0,0,1,4,0,0,1,3,3101278.0
0,0,-0.9952832108346239,-0.4336099171017234,0,0,0,1,0,-0.9952832108346239,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.5352517461469307,0,0,0,0,1,0,5,1,0,0,15,0.0
0,0,0.15347458161228092,-0.4592509468467856,0,0,0,1,0,0.15347458161228092,0,0,1,0,0,1,0,1,0,0,0,0,0,0.21935158584185907,0,0,0,0,0,1,1,0,1,0,16,0.0
1,1,-0.48542882636034673,2.2616454509280906,1,0,0,1,1,-0.48542882636034673,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.10404984215333657,1,0,0,0,0,0,6,1,0,0,3,19950.0
0,0,-0.41259248572116425,-0.4592509468467856,0,0,0,1,0,-0.41259248572116425,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.5352517461469307,0,0,0,0,0,1,1,0,1,0,3,343275.0
0,0,-0.04841078252525201,-0.4592509468467856,0,0,0,1,0,-0.04841078252525201,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.7508526981437278,0,0,0,0,0,1,1,0,1,0,3,343276.0
0,0,-0.7039378482778941,-0.4684840753508467,0,0,0,1,0,-0.7039378482778941,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.10404984215333657,0,0,0,0,0,1,1,0,1,0,3,347466.0
0,1,1.1898070083408496,2.045907131693774,1,0,0,1,2,1.1898070083408496,0,1,0,0,0,1,0,1,0,0,0,0,0,0.003750633845061978,1,0,0,0,0,0,2,0,0,1,17,0.0
0,0,-0.26691980444279934,-0.3537395830682538,0,0,0,1,0,-0.26691980444279934,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.4274512701485322,0,0,0,0,1,0,4,0,0,1,6,0.0
0,0,2.1366794366502218,-0.49697568026480815,0,0,0,1,0,2.1366794366502218,1,0,0,0,0,1,0,1,0,0,0,0,0,-1.0742541261389233,0,0,0,0,0,1,1,0,1,0,3,364500.0
0,0,0.15347458161228092,-0.4592509468467856,0,0,0,1,0,0.15347458161228092,0,0,1,0,0,1,0,1,0,0,0,0,0,0.003750633845061978,0,0,0,0,0,1,1,0,1,0,3,374910.0
0,1,3.0107155243204113,0.7952944941529088,1,1,0,0,5,3.0107155243204113,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.2118503181517351,0,1,0,0,0,0,1,0,1,0,1,0.0
1,1,-0.48542882636034673,2.148862644783235,1,1,0,0,4,-0.48542882636034673,0,1,0,0,0,1,0,1,0,0,0,0,0,0.4349525378386561,1,0,0,0,0,0,2,0,0,1,1,0.0
1,2,0.31577092067066026,-0.29656303398156336,0,0,0,1,0,0.31577092067066026,0,0,0,0,1,0,1,0,1,0,0,0,0,0.9739549178306488,0,0,0,1,0,0,2,0,0,1,3,231919.0
0,2,0.31577092067066026,-0.22582915882277113,0,0,0,1,0,0.31577092067066026,0,0,0,1,0,1,0,1,0,0,0,0,0,-1.0742541261389233,0,0,0,1,0,0,2,0,0,1,3,244367.0
0,0,-0.12124712316443445,-0.4665223892131094,0,0,0,1,0,-0.12124712316443445,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.4274512701485322,0,0,0,0,0,1,1,0,1,0,3,349245.0
0,0,-0.12521344227613163,-0.4665223892131094,0,0,0,1,0,-0.12521344227613163,0,0,1,0,0,1,0,1,0,0,0,0,0,0.5427530138370547,0,0,0,0,0,1,1,0,1,0,3,349215.0
0,1,-0.6311015076387116,0.9834253819127483,1,0,0,1,4,-0.6311015076387116,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.2118503181517351,0,1,0,0,0,0,2,0,0,1,3,35281.0
0,0,0.2429345800314778,-0.4307593419328241,0,0,0,1,0,0.2429345800314778,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.10404984215333657,0,0,0,0,1,0,1,0,1,0,3,7540.0
0,0,0.5342799425882077,-0.4651454364433516,0,0,0,1,0,0.5342799425882077,0,0,1,0,0,1,0,1,0,0,0,0,0,0.3271520618402576,0,0,0,0,0,1,3,0,0,1,3,3101276.0
0,0,-0.12124712316443445,-0.4665223892131094,0,0,0,1,0,-0.12124712316443445,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.6430522221453293,0,0,0,0,0,1,1,0,1,0,3,349207.0
1,0,-0.6311015076387116,-0.47811331355579684,0,0,0,1,0,-0.6311015076387116,1,0,0,0,0,0,1,0,0,1,0,0,0,0.5427530138370547,0,0,0,0,0,1,1,0,1,0,3,343120.0
1,0,-0.49508884679496074,-0.4722188239592308,0,0,0,1,0,-0.49508884679496074,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.5352517461469307,0,0,0,0,0,1,1,0,1,0,3,312991.0
0,0,0.6071162832273901,-0.4665223892131094,0,0,0,1,0,0.6071162832273901,0,0,1,0,0,1,0,1,0,0,0,0,0,-1.2898550781357205,0,0,0,0,0,1,1,0,1,0,3,349249.0
1,0,0.045993194529876255,-0.45925094684678563,0,0,1,0,0,0.045993194529876255,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.8586531741421264,0,0,0,0,0,1,2,0,0,1,3,371110.0
0,1,1.2626433489800322,0.3871977592200952,1,0,0,1,1,1.2626433489800322,0,0,0,1,0,1,0,1,0,0,0,0,0,0.3271520618402576,0,1,0,0,0,0,1,0,1,0,3,110465.0
0,0,-1.1045377217933976,-0.49805555075889907,0,1,0,0,0,-1.1045377217933976,1,0,0,0,0,0,1,0,0,1,0,0,0,-0.7508526981437278,0,0,0,0,0,1,2,0,0,1,3,2665.0
0,0,-0.5582651669995292,-0.4592509468467856,0,0,0,1,0,-0.5582651669995292,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.5352517461469307,0,0,0,0,0,1,1,0,1,0,3,324669.0
0,0,-0.7039378482778941,-0.37554919457554814,0,0,0,1,0,-0.7039378482778941,0,0,0,0,1,0,1,0,0,1,0,0,0,-0.4274512701485322,0,0,0,0,1,0,2,0,0,1,3,4136.0
0,0,-0.9224468701954415,-0.49795888112951536,0,1,0,0,0,-0.9224468701954415,1,0,0,0,0,0,1,0,0,1,0,0,0,-0.6430522221453293,0,0,0,0,0,1,1,0,1,0,3,2627.0
0,0,-0.6311015076387116,-0.4651454364433516,0,0,0,1,0,-0.6311015076387116,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.6430522221453293,0,0,0,0,0,1,1,0,1,0,18,0.0
0,0,2.97429735400082,-0.47339772187854406,0,0,1,0,0,2.97429735400082,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.7508526981437278,0,0,0,0,0,1,1,0,1,0,3,370369.0
0,2,-0.04841078252525201,-0.3437189507540916,0,0,0,1,0,-0.04841078252525201,0,0,0,0,1,1,0,1,0,0,0,0,0,0.4349525378386561,0,0,0,1,0,0,2,0,0,1,3,11668.0
0,1,-0.41259248572116425,4.997179045269159,1,1,0,0,6,-0.41259248572116425,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.31965079415013364,1,0,0,0,0,0,2,0,0,1,1,0.0
0,0,-2.0149919797831783,-0.6281701772855205,0,0,0,1,0,-2.0149919797831783,1,0,0,0,0,0,1,0,0,1,0,0,0,0.6505534898354532,0,0,0,0,0,1,7,1,0,0,3,347082.0
0,2,-0.6311015076387116,-0.14566410030947324,0,0,0,1,0,-0.6311015076387116,0,0,0,1,0,1,0,1,0,0,0,0,0,0.003750633845061978,0,0,1,0,0,0,3,0,0,1,13,0.0
0,0,0.15347458161228092,-0.4592509468467856,0,0,0,1,0,0.15347458161228092,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.10404984215333657,0,0,0,0,0,1,1,0,1,0,19,0.0
0,2,0.2065164097118866,-0.1298480058239673,0,1,0,0,0,0.2065164097118866,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.7508526981437278,0,0,1,0,0,0,2,0,0,1,3,237736.0
1,2,0.2065164097118866,-0.22582915882277113,1,0,0,1,2,0.2065164097118866,0,0,0,1,0,0,1,0,0,1,0,0,0,-0.8586531741421264,0,0,0,1,0,0,1,0,1,0,3,27267.0
0,1,1.7724977334543093,0.9834253819127483,1,0,0,1,4,1.7724977334543093,0,1,0,0,0,1,0,1,0,0,0,0,0,0.003750633845061978,0,1,0,0,0,0,2,0,0,1,3,35281.0
1,0,-1.2866285733913536,-0.5737997420747724,0,1,0,0,0,-1.2866285733913536,1,0,0,0,0,1,0,0,0,0,1,0,0,0.11155110984346052,0,0,0,0,0,1,2,0,0,1,3,2651.0
0,0,0.7922753124876796,-0.47339772187854406,0,0,1,0,0,0.7922753124876796,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.8586531741421264,0,0,0,0,0,1,1,0,1,0,3,370372.0
1,0,-0.41259248572116425,-0.5020826660512729,0,0,0,1,0,-0.41259248572116425,1,0,0,0,0,1,0,1,0,0,0,0,0,-0.2118503181517351,0,0,0,0,0,1,1,0,1,0,20,0.0
1,0,-1.0282597530703037,-0.31169300987802906,1,1,0,0,7,-1.0282597530703037,0,0,0,0,1,0,1,0,0,1,0,0,0,-1.0742541261389233,0,0,0,0,1,0,3,0,0,1,3,2668.0
